abstractID,accepted,deadline,abstractType,subject,presenterID,eventID
1,true,2023-09-23 06:43:00,Expanded,molestie sed,1,3
2,true,2023-10-29 06:46:08,grid-enabled,sapien ut,10,2
3,true,2023-09-14 05:52:34,User-centric,in,9,2
4,false,2023-04-30 09:56:35,Automated,vestibulum,4,2
5,true,2022-12-28 00:10:37,discrete,gravida,7,2
6,false,2023-02-24 14:40:41,pricing structure,morbi,9,3
7,false,2023-04-04 06:33:53,User-centric,nulla ac,3,2
8,false,2022-12-13 14:33:08,Expanded,blandit,5,3
9,false,2023-01-30 11:58:17,definition,potenti nullam,7,2
10,false,2023-05-08 07:29:00,asymmetric,sed vestibulum,1,3
